Stock Item Record ID,Description,Discountable,UPC Code,Price,Cost,Taxable,Price Type,Register Data Status,Quantity on Hand,Inventory Method,Assigned Cost,Order Trigger,Recommended Order,Department,Category,Supplier,Supplier Code,Unit,Tax Group
,SJGE SHIR LAX GUY BLU MD      ,TRUE,699170353537,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY BLU LG      ,TRUE,699170353544,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY BLU XL      ,TRUE,699170353551,12.99,5.89,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE SHIR LAX GUY BLU 2X      ,TRUE,699170353568,12.99,7.49,TRUE,system,active,1,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES BLK BLK OSFA  ,TRUE,699170353629,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES BRN BRN OSFA  ,TRUE,699170353636,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES RED RED OSFA  ,TRUE,699170353643,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES RED RED OSFA  ,TRUE,699170353650,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES CHL CHL OSFA  ,TRUE,699170353667,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES NGN NGN OSFA  ,TRUE,699170353674,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES NOG NOG OSFA  ,TRUE,699170353681,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES NPK NPK OSFA  ,TRUE,699170353698,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES NYW NYW OSFA  ,TRUE,699170353704,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES SIL SIL OSFA  ,TRUE,699170353711,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES SPK SPK OSFA  ,TRUE,699170353728,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES CBE CBE OSFA  ,TRUE,699170353735,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES FLA FLA OSFA  ,TRUE,699170353742,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES FGN FGN OSFA  ,TRUE,699170353759,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES GLD GLD OSFA  ,TRUE,699170353766,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES KEL KEL OSFA  ,TRUE,699170353773,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES LME LME OSFA  ,TRUE,699170353780,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES MAR MAR OSFA  ,TRUE,699170353797,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES NVY NVY OSFA  ,TRUE,699170353902,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES ORG ORG OSFA  ,TRUE,699170353803,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES PRP PRP OSFA  ,TRUE,699170353810,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES ORG ORG OSFA  ,TRUE,699170353827,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES ROY ROY OSFA  ,TRUE,699170353834,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES TUR TUR OSFA  ,TRUE,699170353841,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES GLD GLD OSFA  ,TRUE,699170353858,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES RSP RSP OSFA  ,TRUE,699170353865,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
,SJGE LACE LACES GPT GPT OSFA  ,TRUE,699170353872,2.00,0.60,TRUE,system,active,2,tracked,,0,0,general,general,S J GRAPHICS & EMBROIDERY     ,,,
